2018-11-29 09:00:54,035 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:18,593 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 09:06:18,950 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:18,953 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:19,152 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:19,154 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:20,323 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 09:06:20,330 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 09:06:20,373 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 09:06:20,382 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 09:06:20,383 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 09:06:20,692 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:20,696 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:45,927 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 09:06:46,055 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:46,057 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:46,271 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:46,273 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 09:06:46,614 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 09:06:46,618 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-29 09:06:46,619 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-29 09:06:46,622 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 09:06:46,623 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 09:06:46,923 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 09:06:46,927 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:21:45,084 [Worker-64] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-11-29 10:21:46,296 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 10:21:47,754 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:21:47,770 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:21:47,973 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:21:47,988 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:21:48,273 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lavaFAQ/src/main/java
2018-11-29 10:21:48,273 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /lavaFAQ/src/main/java overlaps with sources folder /lavaFAQ/src/main/java
2018-11-29 10:21:48,289 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lavaFAQ/src/main/resources
2018-11-29 10:21:48,289 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lavaFAQ/src/test/java
2018-11-29 10:21:55,397 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for lavaFAQ
2018-11-29 10:21:55,413 [Worker-64] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 10 sec
2018-11-29 10:21:55,684 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:21:55,686 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:22:08,395 [Worker-65] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 10:22:08,553 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:22:08,553 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:22:11,659 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:22:11,674 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:22:12,095 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:22:12,095 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 10:22:12,127 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 10:22:12,142 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:22:12,142 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 10:22:12,283 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:22:12,283 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:29,610 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:23:29,626 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 10:23:29,657 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 10:23:29,673 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:23:29,673 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 10:23:42,087 [Worker-67] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-11-29 10:23:42,353 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 10:23:42,513 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:42,513 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:42,749 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:42,749 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:43,263 [Worker-67] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lavaFAQ/src/main/java
